review_id,product,brand,category,rating,feedback,date,clean_feedback
58,Fujifilm X-T5,Fujifilm,Camera,2,The performance is excellent and very smooth.,2024-03-13,performance excellent very smooth
59,Steam Deck,Steam,Gaming Console,1,Connectivity works flawlessly.,2024-03-10,connectivity works flawlessly
60,Logitech MX Master 3,Logitech,Mouse,1,"Very satisfied with the screen, but not happy with the speakers.",2024-12-04,very satisfied screen not happy speakers
61,Xiaomi 14,Xiaomi,Smartphone,5,I am not satisfied with the battery performance.,2024-10-12,not satisfied battery performance
62,Sony PlayStation 5,Sony,Gaming Console,4,Exceeded my expectations in every way.,2024-05-15,exceeded my expectations every way
63,Dell UltraSharp U2720Q,Dell,Monitor,5,I am moderately satisfied with the features.,2025-04-29,moderately satisfied features
64,Razer Blade 15,Razer,Laptop,4,"Impressed with the camera, yet dissatisfied with low-light results.",2025-02-20,impressed camera yet dissatisfied lowlight results
65,Asus ROG Strix G16,Asus,Laptop,1,Build quality feels solid and durable.,2025-03-17,build quality feels solid durable
66,Bose QuietComfort Ultra,Bose,Headphones,4,Not impressed with the features offered.,2025-04-23,not impressed features offered
67,Seagate Barracuda 2TB,Seagate,Storage,1,"I am somewhat happy, but improvements are needed.",2024-04-10,somewhat happy improvements needed
68,OnePlus 12,OnePlus,Smartphone,4,"Happy with the performance, but disappointed with the heating issue.",2024-12-13,happy performance disappointed heating issue
69,Netgear Nighthawk AX5400,Netgear,Router,1,I am not satisfied with the battery performance.,2024-07-15,not satisfied battery performance
70,Asus ROG Strix G16,Asus,Laptop,5,I am not satisfied with customer support.,2024-05-23,not satisfied customer support
71,Jabra Elite 7 Pro,Jabra,Earbuds,2,Completely dissatisfied with the performance.,2025-04-18,completely dissatisfied performance
72,Razer Blade 15,Razer,Laptop,1,I am not satisfied with customer support.,2024-04-10,not satisfied customer support
73,OnePlus 12,OnePlus,Smartphone,5,"I am pleased with the display, but unhappy with battery backup.",2024-01-16,pleased display unhappy battery backup
74,Belkin 3-in-1 Wireless Charger,Belkin,Charger,1,"Overall satisfied, but not fully happy with the experience.",2024-08-30,overall satisfied not fully happy experience
75,HP Omen 16,HP,Laptop,4,"Not fully satisfied, but not completely disappointed either.",2025-05-07,not fully satisfied not completely disappointed either
76,Acer Predator Helios 300,Acer,Laptop,4,"Satisfied with features, yet not impressed with pricing.",2024-03-01,satisfied features yet not impressed pricing
77,HP Omen 16,HP,Laptop,4,The performance is excellent and very smooth.,2025-02-03,performance excellent very smooth
78,iPad Pro 12.9,iPad,Tablet,4,I am unhappy with how quickly it overheats.,2025-03-09,unhappy how quickly overheats
79,Nintendo Switch OLED,Nintendo,Gaming Console,5,It performs adequately for daily tasks.,2025-05-13,performs adequately daily tasks
80,Dell XPS 13,Dell,Laptop,2,I am unhappy with how quickly it overheats.,2024-08-10,unhappy how quickly overheats
81,Anker PowerCore 20000,Anker,Power Bank,1,"It meets expectations, nothing more.",2024-03-03,meets expectations nothing more
82,LG UltraGear 27GP850,LG,Monitor,3,The design looks premium and stylish.,2024-02-21,design looks premium stylish
83,Fujifilm X-T5,Fujifilm,Camera,4,I feel neutral about this purchase.,2025-06-27,neutral about purchase
84,HP Omen 16,HP,Laptop,1,I feel neutral about this purchase.,2024-03-23,neutral about purchase
85,WD Black SN850X,WD,Storage,2,Facing some heating issues during heavy use.,2024-03-10,facing some heating issues during heavy use
86,Microsoft Xbox Series X,Microsoft,Gaming Console,2,Completely unhappy with the software stability.,2024-05-02,completely unhappy software stability
87,Apple Magic Keyboard,Apple,Keyboard,5,I am not satisfied with the battery performance.,2024-02-10,not satisfied battery performance
88,Samsung Galaxy Watch 6,Samsung,Smartwatch,1,Not impressed with the features offered.,2025-06-19,not impressed features offered
89,Amazon Fire HD 10,Amazon,Tablet,3,Exceeded my expectations in every way.,2024-11-17,exceeded my expectations every way
90,Razer Blade 15,Razer,Laptop,3,Completely unhappy with the software stability.,2024-05-14,completely unhappy software stability
91,Sony PlayStation 5,Sony,Gaming Console,3,"Overall, I feel dissatisfied with this purchase.",2024-11-19,overall dissatisfied purchase
92,Razer DeathAdder V2,Razer,Mouse,1,The performance is excellent and very smooth.,2025-04-14,performance excellent very smooth
93,Samsung Galaxy Watch 6,Samsung,Smartwatch,5,Build quality feels solid and durable.,2024-03-16,build quality feels solid durable
94,Canon EOS R6 Mark II,Canon,Camera,2,I feel neutral about this purchase.,2024-09-28,neutral about purchase
95,MacBook Air M3,MacBook,Laptop,3,"I feel happy using it daily, but not satisfied with long-term stability.",2024-03-11,happy using daily not satisfied longterm stability
96,Crucial P5 Plus SSD,Crucial,Storage,2,Very dissatisfied with the build quality.,2024-10-18,very dissatisfied build quality
97,HP Omen 16,HP,Laptop,4,"I am pleased with the display, but unhappy with battery backup.",2024-11-05,pleased display unhappy battery backup
98,Samsung Galaxy Watch 6,Samsung,Smartwatch,5,The performance is excellent and very smooth.,2024-11-02,performance excellent very smooth
99,Razer DeathAdder V2,Razer,Mouse,1,"I feel happy using it daily, but not satisfied with long-term stability.",2024-05-17,happy using daily not satisfied longterm stability
100,iPad Pro 12.9,iPad,Tablet,1,"I feel happy using it daily, but not satisfied with long-term stability.",2024-04-19,happy using daily not satisfied longterm stability
101,LG UltraGear 27GP850,LG,Monitor,5,Sometimes it lags while multitasking.,2024-10-05,sometimes lags while multitasking
102,Lenovo Tab P12,Lenovo,Tablet,5,Exceeded my expectations in every way.,2024-12-17,exceeded my expectations every way
103,Acer Predator Helios 300,Acer,Laptop,3,I feel neutral about this purchase.,2025-05-15,neutral about purchase
104,iPad Pro 12.9,iPad,Tablet,1,Worth the price and delivers good value.,2025-03-09,worth price delivers good value
105,Samsung 970 EVO SSD,Samsung,Storage,3,Very happy with this purchase so far.,2024-01-04,very happy purchase so far
106,Sony WH-1000XM5,Sony,Headphones,2,Fair performance for the price.,2024-09-25,fair performance price
107,HP Omen 16,HP,Laptop,4,The product is acceptable but not impressive.,2025-03-13,product acceptable not impressive
108,Sony Alpha A7 IV,Sony,Camera,1,Software experience is clean and responsive.,2024-03-18,software experience clean responsive
109,Apple Magic Keyboard,Apple,Keyboard,2,I am partially satisfied with the performance.,2024-02-06,partially satisfied performance
110,Samsung 970 EVO SSD,Samsung,Storage,3,"It meets expectations, nothing more.",2024-05-31,meets expectations nothing more
111,Jabra Elite 7 Pro,Jabra,Earbuds,2,Very happy with this purchase so far.,2024-11-11,very happy purchase so far
112,Sennheiser Momentum 4,Sennheiser,Headphones,1,"Satisfied with features, yet not impressed with pricing.",2025-01-01,satisfied features yet not impressed pricing
113,Acer Predator Helios 300,Acer,Laptop,2,It performs adequately for daily tasks.,2024-04-15,performs adequately daily tasks
114,Bose QuietComfort Ultra,Bose,Headphones,5,"I feel happy using it daily, but not satisfied with long-term stability.",2025-02-20,happy using daily not satisfied longterm stability
115,Belkin 3-in-1 Wireless Charger,Belkin,Charger,5,"I feel impressed by the speed, yet not satisfied with the build quality.",2024-06-07,impressed speed yet not satisfied build quality
116,Razer DeathAdder V2,Razer,Mouse,2,"Very satisfied with the screen, but not happy with the speakers.",2024-06-15,very satisfied screen not happy speakers
117,Belkin 3-in-1 Wireless Charger,Belkin,Charger,2,"I feel happy using it daily, but not satisfied with long-term stability.",2025-02-26,happy using daily not satisfied longterm stability
118,Samsung Galaxy S24 Ultra,Samsung,Smartphone,2,"I feel impressed by the speed, yet not satisfied with the build quality.",2024-12-06,impressed speed yet not satisfied build quality
119,TP-Link Archer AX73,TP-Link,Router,4,"Impressed with the camera, yet dissatisfied with low-light results.",2024-09-11,impressed camera yet dissatisfied lowlight results
120,Samsung Galaxy Tab S9,Samsung,Tablet,2,"I am satisfied overall, but not satisfied with the charging speed.",2024-04-20,satisfied overall not satisfied charging speed
121,Beats Studio 3,Beats,Headphones,1,"Satisfied with performance, though disappointed by occasional lag.",2025-04-26,satisfied performance though disappointed occasional lag
122,MSI Katana 15,MSI,Laptop,2,"Happy with multitasking, but not satisfied with durability.",2025-04-16,happy multitasking not satisfied durability
123,Bose QuietComfort Ultra,Bose,Headphones,3,"Happy with multitasking, but not satisfied with durability.",2024-08-21,happy multitasking not satisfied durability
124,MSI Katana 15,MSI,Laptop,1,It performs adequately for daily tasks.,2024-07-16,performs adequately daily tasks
125,Apple AirPods Pro,Apple,Earbuds,3,Completely dissatisfied with the performance.,2024-03-12,completely dissatisfied performance
126,Anker PowerCore 20000,Anker,Power Bank,3,Not happy with the slow charging speed.,2025-06-05,not happy slow charging speed
127,Apple AirPods Pro,Apple,Earbuds,5,I regret buying this product.,2024-01-29,regret buying product
128,Realme GT 5,Realme,Smartphone,3,Setup process was quick and easy.,2024-09-28,setup process quick easy
129,Google Pixel 8 Pro,Google,Smartphone,1,I am okay with the overall experience.,2025-03-20,okay overall experience
130,Bose QuietComfort Ultra,Bose,Headphones,3,Very disappointed considering the price.,2025-06-07,very disappointed considering price
131,Realme GT 5,Realme,Smartphone,4,"Satisfied with features, yet not impressed with pricing.",2024-07-13,satisfied features yet not impressed pricing
132,iPad Pro 12.9,iPad,Tablet,1,"I am satisfied with the display, but not satisfied with the battery life.",2025-03-22,satisfied display not satisfied battery life
133,iPhone 15 Pro,iPhone,Smartphone,5,"Overall satisfied, but not fully happy with the experience.",2024-07-20,overall satisfied not fully happy experience
134,Sennheiser Momentum 4,Sennheiser,Headphones,4,Facing some heating issues during heavy use.,2024-12-04,facing some heating issues during heavy use
135,Samsung Galaxy Watch 6,Samsung,Smartwatch,3,It performs adequately for daily tasks.,2024-05-07,performs adequately daily tasks
136,Dell UltraSharp U2720Q,Dell,Monitor,3,I feel neutral about this purchase.,2024-11-12,neutral about purchase
137,Sony PlayStation 5,Sony,Gaming Console,4,Extremely disappointed with the camera results.,2025-02-16,extremely disappointed camera results
138,Nintendo Switch OLED,Nintendo,Gaming Console,3,The product is acceptable but not impressive.,2024-05-10,product acceptable not impressive
139,Asus ROG Strix G16,Asus,Laptop,4,It performs adequately for daily tasks.,2025-01-23,performs adequately daily tasks
140,Microsoft Xbox Series X,Microsoft,Gaming Console,2,"Not extremely satisfied, but not unhappy either.",2024-11-04,not extremely satisfied not unhappy either
141,Apple AirPods Pro,Apple,Earbuds,5,"I am pleased with the display, but unhappy with battery backup.",2024-01-01,pleased display unhappy battery backup
142,Xiaomi Pad 6,Xiaomi,Tablet,3,Exceeded my expectations in every way.,2025-03-16,exceeded my expectations every way
143,TP-Link Archer AX73,TP-Link,Router,5,I am okay with the overall experience.,2024-11-25,okay overall experience
144,LG OLED C3,LG,Television,4,I am not satisfied with customer support.,2024-08-06,not satisfied customer support
145,TCL C645 QLED,TCL,Television,4,"I am satisfied overall, but not satisfied with the charging speed.",2024-06-22,satisfied overall not satisfied charging speed
146,Sony PlayStation 5,Sony,Gaming Console,1,I am unhappy with how quickly it overheats.,2025-06-11,unhappy how quickly overheats
147,Sony PlayStation 5,Sony,Gaming Console,5,I regret buying this product.,2024-04-05,regret buying product
148,Asus RT-AX88U,Asus,Router,2,"I am somewhat happy, but improvements are needed.",2024-11-13,somewhat happy improvements needed
149,MSI Katana 15,MSI,Laptop,2,Sometimes it lags while multitasking.,2024-01-26,sometimes lags while multitasking
150,Google Pixel 8 Pro,Google,Smartphone,2,"I am somewhat satisfied, but there is room for improvement.",2024-03-15,somewhat satisfied there room improvement
151,LG OLED C3,LG,Television,4,"I feel happy using it daily, but not satisfied with long-term stability.",2024-07-18,happy using daily not satisfied longterm stability
152,Steam Deck,Steam,Gaming Console,4,"Not fully satisfied, but not completely disappointed either.",2025-02-13,not fully satisfied not completely disappointed either
153,Razer Blade 15,Razer,Laptop,2,I feel balanced about this product.,2024-01-06,balanced about product
154,Logitech MX Master 3,Logitech,Mouse,1,"Very happy with the sound quality, though disappointed with connectivity.",2025-03-11,very happy sound quality though disappointed connectivity
155,MSI Katana 15,MSI,Laptop,2,"Impressed with the camera, yet dissatisfied with low-light results.",2025-06-14,impressed camera yet dissatisfied lowlight results
156,LG OLED C3,LG,Television,1,The product is acceptable but not impressive.,2024-09-12,product acceptable not impressive
157,Logitech MX Keys,Logitech,Keyboard,1,"Overall, I feel dissatisfied with this purchase.",2024-05-16,overall dissatisfied purchase
158,Netgear Nighthawk AX5400,Netgear,Router,4,It performs adequately for daily tasks.,2025-06-27,performs adequately daily tasks
159,Sony Alpha A7 IV,Sony,Camera,5,Extremely disappointed with the camera results.,2025-03-29,extremely disappointed camera results
160,Samsung Galaxy Watch 6,Samsung,Smartwatch,5,Very disappointed considering the price.,2025-04-01,very disappointed considering price
161,Logitech MX Master 3,Logitech,Mouse,2,"I feel impressed by the speed, yet not satisfied with the build quality.",2025-05-01,impressed speed yet not satisfied build quality
162,Nothing Ear 2,Nothing,Earbuds,3,"Satisfied with the design, but unhappy with the software.",2024-09-10,satisfied design unhappy software
163,Samsung 970 EVO SSD,Samsung,Storage,3,"Very happy with the sound quality, though disappointed with connectivity.",2025-06-17,very happy sound quality though disappointed connectivity
164,Sony Bravia A80L,Sony,Television,2,Completely dissatisfied with the performance.,2025-03-26,completely dissatisfied performance
165,Xiaomi 14,Xiaomi,Smartphone,3,I am not satisfied with the battery performance.,2024-10-05,not satisfied battery performance
166,Sony WH-1000XM5,Sony,Headphones,3,"Satisfied with features, yet not impressed with pricing.",2024-03-23,satisfied features yet not impressed pricing
167,MacBook Air M3,MacBook,Laptop,2,Connectivity works flawlessly.,2025-01-27,connectivity works flawlessly
168,Nintendo Switch OLED,Nintendo,Gaming Console,2,"I am satisfied with the display, but not satisfied with the battery life.",2024-08-07,satisfied display not satisfied battery life
169,Xiaomi 14,Xiaomi,Smartphone,4,Not impressed with the features offered.,2024-12-04,not impressed features offered
170,Canon EOS R6 Mark II,Canon,Camera,4,Not impressed with the features offered.,2024-03-04,not impressed features offered
171,Acer Predator Helios 300,Acer,Laptop,4,I am frustrated and not satisfied at all.,2024-01-21,frustrated not satisfied all
172,WD Black SN850X,WD,Storage,5,I am frustrated and not satisfied at all.,2025-05-03,frustrated not satisfied all
173,iPhone 15 Pro,iPhone,Smartphone,3,Not satisfied with the display brightness.,2025-02-03,not satisfied display brightness
174,WD Black SN850X,WD,Storage,4,I am partially satisfied with the performance.,2024-08-13,partially satisfied performance
175,Sony Bravia A80L,Sony,Television,2,Completely dissatisfied with the performance.,2025-03-22,completely dissatisfied performance
176,Sony Bravia A80L,Sony,Television,1,I am frustrated and not satisfied at all.,2024-12-10,frustrated not satisfied all
177,Sony PlayStation 5,Sony,Gaming Console,4,"Happy with the performance, but disappointed with the heating issue.",2024-06-18,happy performance disappointed heating issue
178,Samsung 970 EVO SSD,Samsung,Storage,4,"I am generally happy, but somewhat dissatisfied with build quality.",2024-05-10,generally happy somewhat dissatisfied build quality
179,Belkin 3-in-1 Wireless Charger,Belkin,Charger,5,I am partially satisfied with the performance.,2024-01-28,partially satisfied performance
180,Logitech MX Keys,Logitech,Keyboard,4,"It meets expectations, nothing more.",2024-01-28,meets expectations nothing more
181,Nothing Phone 2,Nothing,Smartphone,4,The display quality is sharp and vibrant.,2025-04-17,display quality sharp vibrant
182,Lenovo ThinkPad X1,Lenovo,Laptop,1,Very disappointed with the overall quality.,2025-01-23,very disappointed overall quality
183,Amazon Fire HD 10,Amazon,Tablet,2,"Overall, I feel dissatisfied with this purchase.",2024-11-30,overall dissatisfied purchase
184,Sony WH-1000XM5,Sony,Headphones,4,Completely dissatisfied with the performance.,2025-03-07,completely dissatisfied performance
185,iPad Pro 12.9,iPad,Tablet,1,"I am somewhat satisfied, but there is room for improvement.",2024-01-20,somewhat satisfied there room improvement
186,LG UltraGear 27GP850,LG,Monitor,5,The design looks premium and stylish.,2024-12-24,design looks premium stylish
187,MSI Katana 15,MSI,Laptop,1,"Very happy with the sound quality, though disappointed with connectivity.",2024-02-11,very happy sound quality though disappointed connectivity
188,Samsung Odyssey G7,Samsung,Monitor,1,I am not satisfied with the battery performance.,2024-07-23,not satisfied battery performance
189,Samsung 970 EVO SSD,Samsung,Storage,1,"Not extremely satisfied, but not unhappy either.",2024-06-05,not extremely satisfied not unhappy either
190,Razer Blade 15,Razer,Laptop,2,"I am somewhat satisfied, but there is room for improvement.",2024-04-27,somewhat satisfied there room improvement
191,Nikon Z6 II,Nikon,Camera,2,"Overall, I feel dissatisfied with this purchase.",2024-09-19,overall dissatisfied purchase
192,Asus TUF Gaming VG27AQ,Asus,Monitor,3,Audio quality is clear and immersive.,2024-04-27,audio quality clear immersive
193,Asus TUF Gaming VG27AQ,Asus,Monitor,2,Not satisfied with the display brightness.,2024-04-20,not satisfied display brightness
194,Fujifilm X-T5,Fujifilm,Camera,1,"Overall satisfied, but not fully happy with the experience.",2024-11-15,overall satisfied not fully happy experience
195,Nikon Z6 II,Nikon,Camera,4,Completely unhappy with the software stability.,2024-07-22,completely unhappy software stability
196,Xiaomi 14,Xiaomi,Smartphone,5,The experience is average overall.,2024-09-05,experience average overall
197,Motorola Edge 40,Motorola,Smartphone,3,"Satisfied with performance, though disappointed by occasional lag.",2024-05-03,satisfied performance though disappointed occasional lag
198,TP-Link Archer AX73,TP-Link,Router,5,"I am satisfied overall, but not satisfied with the charging speed.",2024-02-12,satisfied overall not satisfied charging speed
199,Bose QuietComfort Ultra,Bose,Headphones,5,Very disappointed considering the price.,2025-01-14,very disappointed considering price
200,Xiaomi 14,Xiaomi,Smartphone,5,I feel balanced about this product.,2024-12-15,balanced about product
201,iPhone 15 Pro,iPhone,Smartphone,4,"Happy with multitasking, but not satisfied with durability.",2025-05-16,happy multitasking not satisfied durability
202,Motorola Edge 40,Motorola,Smartphone,4,Very dissatisfied with the build quality.,2025-04-15,very dissatisfied build quality
203,Steam Deck,Steam,Gaming Console,2,Very disappointed considering the price.,2024-06-29,very disappointed considering price
204,Dell UltraSharp U2720Q,Dell,Monitor,5,I feel balanced about this product.,2024-10-03,balanced about product
205,Samsung Galaxy Watch 6,Samsung,Smartwatch,5,"Very happy with the sound quality, though disappointed with connectivity.",2025-05-10,very happy sound quality though disappointed connectivity
206,LG OLED C3,LG,Television,4,"Happy with multitasking, but not satisfied with durability.",2024-10-01,happy multitasking not satisfied durability
207,Amazon Fire HD 10,Amazon,Tablet,2,"I am pleased with the display, but unhappy with battery backup.",2024-03-29,pleased display unhappy battery backup
208,Samsung Galaxy Tab S9,Samsung,Tablet,4,I am not satisfied with the battery performance.,2025-04-20,not satisfied battery performance
209,Nikon Z6 II,Nikon,Camera,5,It performs adequately for daily tasks.,2025-01-23,performs adequately daily tasks
210,Sony WH-1000XM5,Sony,Headphones,1,"Not fully satisfied, but not completely disappointed either.",2024-11-28,not fully satisfied not completely disappointed either
211,Lenovo ThinkPad X1,Lenovo,Laptop,4,Exceeded my expectations in every way.,2024-12-29,exceeded my expectations every way
212,Netgear Nighthawk AX5400,Netgear,Router,3,I regret buying this product.,2024-10-13,regret buying product
213,Crucial P5 Plus SSD,Crucial,Storage,5,The experience is average overall.,2024-10-09,experience average overall
214,Sony Alpha A7 IV,Sony,Camera,1,"It works fine, though I am neither satisfied nor dissatisfied.",2024-07-14,works fine though neither satisfied nor dissatisfied
215,Nothing Phone 2,Nothing,Smartphone,2,"Happy with the performance, but disappointed with the heating issue.",2025-02-20,happy performance disappointed heating issue
216,Sony Bravia A80L,Sony,Television,5,"Satisfied with the design, but unhappy with the software.",2024-09-03,satisfied design unhappy software
217,Nintendo Switch OLED,Nintendo,Gaming Console,4,I feel balanced about this product.,2025-05-17,balanced about product
218,Nothing Ear 2,Nothing,Earbuds,1,Worth the price and delivers good value.,2024-10-28,worth price delivers good value
219,MSI Katana 15,MSI,Laptop,4,The experience is average overall.,2024-09-06,experience average overall
220,Xiaomi Pad 6,Xiaomi,Tablet,5,Very dissatisfied with the build quality.,2025-04-29,very dissatisfied build quality
221,Sony Alpha A7 IV,Sony,Camera,5,Not happy with the slow charging speed.,2025-03-11,not happy slow charging speed
222,LG UltraGear 27GP850,LG,Monitor,5,I regret buying this product.,2024-12-26,regret buying product
223,Nintendo Switch OLED,Nintendo,Gaming Console,4,Completely dissatisfied with the performance.,2024-11-09,completely dissatisfied performance
224,iPad Pro 12.9,iPad,Tablet,2,Software experience is clean and responsive.,2024-07-16,software experience clean responsive
225,Amazon Fire HD 10,Amazon,Tablet,1,"I feel impressed by the speed, yet not satisfied with the build quality.",2024-07-08,impressed speed yet not satisfied build quality
226,Asus ROG Strix G16,Asus,Laptop,2,"I feel impressed by the speed, yet not satisfied with the build quality.",2025-05-10,impressed speed yet not satisfied build quality
227,Samsung Galaxy Tab S9,Samsung,Tablet,5,"Satisfied with the design, but unhappy with the software.",2025-06-21,satisfied design unhappy software
228,Apple Watch Ultra 2,Apple,Smartwatch,3,Build quality feels solid and durable.,2024-07-17,build quality feels solid durable
229,Lenovo Tab P12,Lenovo,Tablet,2,Very dissatisfied with the build quality.,2024-07-02,very dissatisfied build quality
